Utc;Phase;Between;Source
"2029-09-15T01:29:00";"Primo quarto";"Gibbosa crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-09-22T16:29:00";"Luna piena";"Gibbosa calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-09-30T20:57:00";"Ultimo quarto";"Falce calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-10-07T19:14:00";"Luna nuova";"Falce crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-10-14T11:09:00";"Primo quarto";"Gibbosa crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-10-22T09:27:00";"Luna piena";"Gibbosa calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-10-30T11:32:00";"Ultimo quarto";"Falce calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-11-06T04:24:00";"Luna nuova";"Falce crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-11-13T00:35:00";"Primo quarto";"Gibbosa crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-11-21T04:03:00";"Luna piena";"Gibbosa calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-11-28T23:48:00";"Ultimo quarto";"Falce calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-12-05T14:52:00";"Luna nuova";"Falce crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-12-12T17:49:00";"Primo quarto";"Gibbosa crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-12-20T22:46:00";"Luna piena";"Gibbosa calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
"2029-12-28T09:49:00";"Ultimo quarto";"Falce calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2029"
