"Path","Width","Height","Bytes","Sha256","DuplicateCount","MsBuildIncluded","Classification","References"
"TrackMeUp/Assets/TrackMeUpSplashScreen.scale-200_altform-colorful_theme-light.png","1240","600","237482","F3A120F3F56196EA96BC828D294554894CF0A86B38F3063DDE7D26DF3F02FD10","2","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSplashScreen.scale-200.png","1240","600","238763","6B5281A802CADF20A65A794F2B5755CEEC76F9238FF75D930F8E49EE6C0EF0C9","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSplashScreen.scale-400_altform-colorful_theme-dark.png","2480","1200","337625","22D71781215E9AC3AD565839E01643B3CE0FB9DA110417B2C3AF01C7391160BE","1","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSplashScreen.scale-400_altform-colorful_theme-light.png","2480","1200","336921","3E8408A3088EFCF524F547A36FF35EE2CCA649206447FEEF1BE7B45B1C45CE8B","1","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSplashScreen.scale-400.png","2480","1200","337290","2D791EDCC51412193ECECDEDAAA17A0F4881F9A44CC79F4182CC44D30E0803CF","1","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.png","150","150","23233","D9C6CAFB4EC01F1C5006DC7ED72FA0433B100B3C436172F43543696CEF777A98","4","True","direct-reference","scripts/TrackMeUp.ps1;TrackMeUp/bin/ARM64/Debug/net10.0-windows10.0.19041.0/win-arm64/AppxManifest.xml;TrackMeUp/bin/x64/Debug/net10.0-windows10.0.19041.0/win-x64/AppxManifest.xml;TrackMeUp/bin/x64/Release/net10.0-windows10.0.19041.0/win-x64/AppxManifest.xml;TrackMeUp/bin/x86/Debug/net10.0-windows10.0.19041.0/win-x86/AppxManifest.xml;TrackMeUp/obj/ARM64/Debug/net10.0-windows10.0.19041.0/win-arm64/ReportsWindow.xaml;TrackMeUp/obj/x64/Debug/net10.0-windows10.0.19041.0/win-x64/ReportsWindow.xaml;TrackMeUp/obj/x64/Release/net10.0-windows10.0.19041.0/win-x64/ReportsWindow.xaml;TrackMeUp/obj/x86/Debug/net10.0-windows10.0.19041.0/win-x86/ReportsWindow.xaml;TrackMeUp/ReportsWindow.xaml"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-100_altform-colorful_theme-dark.png","150","150","23233","D9C6CAFB4EC01F1C5006DC7ED72FA0433B100B3C436172F43543696CEF777A98","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-100_altform-colorful_theme-light.png","150","150","23233","D9C6CAFB4EC01F1C5006DC7ED72FA0433B100B3C436172F43543696CEF777A98","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-100.png","150","150","23233","D9C6CAFB4EC01F1C5006DC7ED72FA0433B100B3C436172F43543696CEF777A98","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-125_altform-colorful_theme-dark.png","188","188","34654","F7E69938C8D4E9F5FC2D4611CF273808EB58AB5CCF98B3A4536E010AA83CAB0A","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-125_altform-colorful_theme-light.png","188","188","34654","F7E69938C8D4E9F5FC2D4611CF273808EB58AB5CCF98B3A4536E010AA83CAB0A","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-125.png","188","188","34654","F7E69938C8D4E9F5FC2D4611CF273808EB58AB5CCF98B3A4536E010AA83CAB0A","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-150_altform-colorful_theme-dark.png","225","225","48440","690D2B18EBDABFD964FC3D9D7F020B2E3C5EAED74214F5ADF567EB37F7996D87","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-150_altform-colorful_theme-light.png","225","225","48440","690D2B18EBDABFD964FC3D9D7F020B2E3C5EAED74214F5ADF567EB37F7996D87","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-150.png","225","225","48440","690D2B18EBDABFD964FC3D9D7F020B2E3C5EAED74214F5ADF567EB37F7996D87","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-200_altform-colorful_theme-dark.png","300","300","83747","5B9EA30839EB30D7B62BDD267AF35A5002BBE407DFAD908D78780A8ECE88CA88","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-200_altform-colorful_theme-light.png","300","300","83747","5B9EA30839EB30D7B62BDD267AF35A5002BBE407DFAD908D78780A8ECE88CA88","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-200.png","300","300","83747","5B9EA30839EB30D7B62BDD267AF35A5002BBE407DFAD908D78780A8ECE88CA88","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-400_altform-colorful_theme-dark.png","600","600","304177","3910788E0A3D1ADE7F5C136D811B561D6AE33442F7A825AC836D00DB6E27E79E","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-400_altform-colorful_theme-light.png","600","600","304177","3910788E0A3D1ADE7F5C136D811B561D6AE33442F7A825AC836D00DB6E27E79E","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare150Logo.scale-400.png","600","600","304177","3910788E0A3D1ADE7F5C136D811B561D6AE33442F7A825AC836D00DB6E27E79E","3","True","package-platform-variant","System.Collections.Hashtable"
